per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;coho_mat;tasa_ret_1er_anio;tasa_ret_2do_anio;tasa_ret_1er_anio2;tasa_ret_2do_anio3
5;0.057291666666666664;0;1;63;0.7142857142857224;0.4911097486204783;0.4518905526534329;0,491109749;0,451890553
5;0.06249999999999999;9;1;64;0.7142857142857224;0.4402959034126597;0.4518905526534329;0,440295903;0,451890553
5;0.06770833333333333;9;1;66;0.7142857142857224;0.12911699333198623;0.4518905526534329;0,129116993;0,451890553
5;0.07291666666666667;0;1;68;0.7142857142857224;0.5497907949790795;0.4518905526534329;0,549790795;0,451890553
5;0.078125;6;1;70;0.7142857142857224;0.23992472949662846;0.4518905526534329;0,239924729;0,451890553
5;0.08333333333333333;9;1;73;0.7142857142857224;0.1736776343190336;0.4518905526534329;0,173677634;0,451890553
5;0.09375;8;1;76;0.7142857142857224;0.6547467201166179;0.4518905526534329;0,65474672;0,451890553
5;0.09895833333333333;8;1;77;0.7142857142857224;0.7273201251303443;0.4518905526534329;0,727320125;0,451890553
5;0.10416666666666667;0;1;79;0.7142857142857224;0.3612565445026179;0.4518905526534329;0,361256545;0,451890553
5;0.109375;9;1;83;0.7142857142857224;0.2694243070362472;0.4518905526534329;0,269424307;0,451890553
5;0.11458333333333333;8;1;84;0.7142857142857224;0.833705357142857;0.4518905526534329;0,833705357;0,451890553
5;0.11979166666666667;0;1;85;0.7142857142857224;0.4362538869581123;0.4518905526534329;0,436253887;0,451890553
5;0.12499999999999999;9;1;86;0.7142857142857224;0.3114010209869542;0.4518905526534329;0,311401021;0,451890553
5;0.13020833333333331;9;1;88;0.7142857142857224;0.052244088914059184;0.4518905526534329;0,052244089;0,451890553
5;0.13541666666666666;9;1;89;0.7142857142857224;0.15382134795227342;0.4518905526534329;0,153821348;0,451890553
5;0.14062499999999997;9;1;91;0.7142857142857224;0.5903420523138834;0.4518905526534329;0,590342052;0,451890553
5;0.14583333333333331;8;1;95;0.7142857142857224;0.7639751552795031;0.4518905526534329;0,763975155;0,451890553
5;0.15104166666666666;9;1;96;0.7142857142857224;0.19047619047619047;0.4518905526534329;0,19047619;0,451890553
5;0.15624999999999997;9;1;97;0.7142857142857224;0.21038961038961035;0.4518905526534329;0,21038961;0,451890553
